neighborhood_id,name,district,speed_peak,speed_offpeak,speed_blended
220,ELMALI,BEYKOZ,60.1,57.91,60.08
221,ELMALIKENT,ÜMRANİYE,23.02,35.53,29.25
222,EMEK,SANCAKTEPE,23.33,28.82,25.57
223,EMEKYEMEZ,BEYOĞLU,21.93,33.59,27.28
224,EMNİYET EVLERİ,KAĞITHANE,23.07,38.39,29.86
225,EMNİYETTEPE,EYÜPSULTAN,30.55,47.4,38.61
226,EMİRGAN,SARIYER,26.4,38.45,31.81
227,EMİRLİ,PENDİK,83.17,79.56,82.19
228,ERENKÖY,KADIKÖY,19.05,33.07,24.7
229,ERENLER,ŞİLE,68.9,75.65,71.87
230,ERGENEKON,ŞİŞLİ,19.86,25.75,22.53
231,ERTUĞRUL GAZİ,PENDİK,31.72,45.61,37.36
232,ESATPAŞA,ATAŞEHİR,23.15,35.78,28.78
233,ESENCELİ,ŞİLE,79.11,74.75,76.05
234,ESENEVLER,ÜMRANİYE,19.6,24.0,21.36
235,ESENKENT,MALTEPE,28.31,42.83,34.39
236,ESENKENT,ÜMRANİYE,24.85,28.54,26.6
237,ESENLER,PENDİK,30.19,48.3,37.34
238,ESENTEPE,EYÜPSULTAN,27.34,37.4,31.23
239,ESENTEPE,KARTAL,25.58,33.04,28.14
240,ESENTEPE,SULTANGAZİ,25.27,37.45,30.25
241,ESENTEPE,ŞİŞLİ,25.87,48.04,36.07
242,ESENYALI,PENDİK,32.42,54.76,42.26
243,ESENŞEHİR,ÜMRANİYE,24.08,39.74,30.41
244,ESKİ HABİPLER,SULTANGAZİ,47.45,53.34,50.28
245,ESKİŞEHİR,ŞİŞLİ,20.52,27.62,23.46
246,ETİLER,BEŞİKTAŞ,19.91,29.63,23.99
247,EVLİYA ÇELEBİ,BEYOĞLU,19.15,28.85,23.68
248,EVLİYA ÇELEBİ,TUZLA,54.46,69.83,63.33
249,EYÜP SULTAN,SANCAKTEPE,28.58,41.58,34.09
250,EĞİTİM,KADIKÖY,27.61,44.06,34.94
251,FATİH,ARNAVUTKÖY,60.46,67.38,63.98
252,FATİH,BAĞCILAR,20.35,36.64,27.13
253,FATİH,BEYKOZ,62.86,78.76,68.85
254,FATİH,BÜYÜKÇEKMECE,51.61,70.22,62.14
255,FATİH,ESENLER,16.09,24.46,19.57
256,FATİH,ESENYURT,31.3,50.91,39.23
257,FATİH,KÜÇÜKÇEKMECE,24.51,40.52,31.57
258,FATİH,PENDİK,51.25,62.52,57.09
259,FATİH,SANCAKTEPE,45.3,51.74,48.24
260,FATİH,SULTANBEYLİ,47.4,58.33,52.08
