neighborhood_id,name,district,lat,lon,population
160,BÜYÜKŞEHİR,BEYLİKDÜZÜ,41.006711,28.644863,21125
161,BİNBİRDİREK,FATİH,41.006947333333336,28.972376333333333,612
162,BİRLİK,ESENLER,41.050504,28.873357,25740
163,CADDEBOSTAN,KADIKÖY,40.968781,29.061621,20234
164,CAFERAĞA,KADIKÖY,40.983055,29.025851,21261
165,CAMİ,TUZLA,40.816057,29.306842,6070
166,CAMİİKEBİR,BEYOĞLU,41.03275,28.966338,2475
167,CANKURTARAN,FATİH,41.005137,28.982052,1003
168,CEBECİ,SULTANGAZİ,41.108214,28.86577,59603
169,CELALİYE,BÜYÜKÇEKMECE,41.051496,28.41675,8562
170,CELEPKÖY,ÇATALCA,41.364486,28.49991,283
171,CEMİL MERİÇ,ÜMRANİYE,41.018222,29.140626,21995
172,CENNET,KÜÇÜKÇEKMECE,40.988571,28.783581,26920
173,CERRAHPAŞA,FATİH,41.006623,28.940048,7459
174,CEVATPAŞA,BAYRAMPAŞA,41.071641,28.885264,18739
175,CEVİZLİ,KARTAL,40.911583,29.168618,24093
176,CEVİZLİ,MALTEPE,40.919176,29.153373,41005
177,CEVİZLİK,BAKIRKÖY,40.974527,28.876051,5074
178,CUMHURİYET,BAHÇELİEVLER,41.015921,28.857782,37961
179,CUMHURİYET,BEYKOZ,41.12878,29.260631,1989
180,CUMHURİYET,BEYLİKDÜZÜ,41.009698,28.641263,26174
181,CUMHURİYET,BÜYÜKÇEKMECE,41.017848,28.626306,8632
182,CUMHURİYET,ESENYURT,41.017033,28.647788,14447
183,CUMHURİYET,KARTAL,40.907518,29.22084,23545
184,CUMHURİYET,SARIYER,41.144827,29.032672,10677
185,CUMHURİYET,SULTANGAZİ,41.086483,28.876294,13942
186,CUMHURİYET,ÇEKMEKÖY,41.020268,29.228887,17528
187,CUMHURİYET,ÜSKÜDAR,41.014363,29.081101,37392
188,CUMHURİYET,ŞİŞLİ,41.056223,28.980218,7635
189,CİBALİ,FATİH,41.023627,28.956265,6721
190,CİHANGİR,AVCILAR,40.988201,28.711361,60632
191,CİHANGİR,BEYOĞLU,41.032365999999996,28.98508,3190
192,CİHANNÜMA,BEŞİKTAŞ,41.046064,29.007305000000002,3405
193,DANAMANDIRA,SİLİVRİ,41.307496,28.24427,1128
194,DARLIK,ŞİLE,41.042561,29.575455,193
195,DARÜŞŞAFAKA,SARIYER,41.124555,29.03506,8877
196,DAĞYENİCE,ÇATALCA,41.271429,28.483341,812
197,DEFTERDAR,EYÜPSULTAN,41.037902,28.934967,4601
198,DELİKLİKAYA,ARNAVUTKÖY,41.111092,28.654064,8983
199,DEMİRCİKÖY,SARIYER,41.235383,29.056388,1732
200,DEMİRKAPI,BAĞCILAR,41.051111,28.840146,54601
201,DEMİRTAŞ,FATİH,41.019027,28.964558,305
202,DENİZKÖŞKLER,AVCILAR,40.977171,28.738116,39439
203,DEREAĞZI,BEYLİKDÜZÜ,40.987453,28.616506,21965
204,DERESEKİ,BEYKOZ,41.151877,29.12987,1647
205,DERVİŞ ALİ,FATİH,41.028879,28.938568,16606
206,DEĞİRMENKÖY FEVZİPAŞA,SİLİVRİ,41.0986325,28.00956,3706
207,DEĞİRMENÇAYIRI,ŞİLE,40.977034,29.661153,614
208,DOĞANCILI,ŞİLE,41.193473,29.439566,948
209,DOĞU,PENDİK,40.879992,29.238088,14941
210,DUATEPE,ŞİŞLİ,41.053269,28.980787,7388
211,DUMLUPINAR,PENDİK,40.895501,29.255521,26965
212,DUMLUPINAR,ÜMRANİYE,41.050094,29.091453,11793
213,DURSUNKÖY,ARNAVUTKÖY,41.203868,28.636518,470
214,DURUSU,ARNAVUTKÖY,41.302828,28.677436,743
215,DİKİLİTAŞ,BEŞİKTAŞ,41.054919,29.003349,14642
216,DİZDARİYE,BÜYÜKÇEKMECE,41.02077,28.576687,6426
217,EKİNOBA,BÜYÜKÇEKMECE,41.01074,28.541833,14594
218,EKŞİOĞLU,ÇEKMEKÖY,41.032873,29.234715,11330
219,ELBASAN,ÇATALCA,41.138601,28.415,676
220,ELMALI,BEYKOZ,41.139718,29.13284,3133
221,ELMALIKENT,ÜMRANİYE,41.034505,29.09619,22509
222,EMEK,SANCAKTEPE,41.003564,29.199155,27320
223,EMEKYEMEZ,BEYOĞLU,41.026491,28.970888,168
224,EMNİYET EVLERİ,KAĞITHANE,41.085832,29.00535,8480
225,EMNİYETTEPE,EYÜPSULTAN,41.070164,28.946588,10968
226,EMİRGAN,SARIYER,41.104924,29.056316,7924
227,EMİRLİ,PENDİK,40.990396,29.339786,267
228,ERENKÖY,KADIKÖY,40.97746,29.073668,33740
229,ERENLER,ŞİLE,41.118613,29.567233,232
230,ERGENEKON,ŞİŞLİ,41.046816,28.9850465,2287
231,ERTUĞRUL GAZİ,PENDİK,40.919539,29.261587,12271
232,ESATPAŞA,ATAŞEHİR,41.001109,29.085617,32949
233,ESENCELİ,ŞİLE,41.053472,29.392624,100
234,ESENEVLER,ÜMRANİYE,41.015882,29.092662,26274
235,ESENKENT,MALTEPE,40.927096,29.167691,17949
236,ESENKENT,ÜMRANİYE,41.001756,29.186823,21558
237,ESENLER,PENDİK,40.884094,29.273675,33574
238,ESENTEPE,EYÜPSULTAN,41.06845,28.94008,22059
239,ESENTEPE,KARTAL,40.90336,29.185394,32087
240,ESENTEPE,SULTANGAZİ,41.10119,28.88084,62645
241,ESENTEPE,ŞİŞLİ,41.065732,29.009531,7038
242,ESENYALI,PENDİK,40.862343,29.295083,13957
243,ESENŞEHİR,ÜMRANİYE,41.009391,29.167332,20651
244,ESKİ HABİPLER,SULTANGAZİ,41.132558,28.83279,14336
245,ESKİŞEHİR,ŞİŞLİ,41.045988,28.97979,11231
246,ETİLER,BEŞİKTAŞ,41.082647,29.036456,10290
247,EVLİYA ÇELEBİ,BEYOĞLU,41.029936,28.971846,258
248,EVLİYA ÇELEBİ,TUZLA,40.841563,29.300158,14855
249,EYÜP SULTAN,SANCAKTEPE,40.986561,29.225991,24066
250,EĞİTİM,KADIKÖY,40.987763,29.052926,13008
251,FATİH,ARNAVUTKÖY,41.218548,28.705084,3995
252,FATİH,BAĞCILAR,41.051272,28.84635,39414
253,FATİH,BEYKOZ,41.090839,29.12584,4296
254,FATİH,BÜYÜKÇEKMECE,41.021356,28.588989,17857
255,FATİH,ESENLER,41.042196,28.866782,40022
256,FATİH,ESENYURT,41.030825,28.67942,27695
257,FATİH,KÜÇÜKÇEKMECE,40.994418,28.76724,10834
258,FATİH,PENDİK,40.866875,29.298888,21096
259,FATİH,SANCAKTEPE,40.958604,29.214413,38699
260,FATİH,SULTANBEYLİ,40.955676,29.271759,21081
261,FATİH,SİLİVRİ,41.072844,28.2468935,6667
262,FATİH,TUZLA,40.927656,29.341628,1201
263,FATİH,ÇATALCA,41.413427,28.1861845,1390
264,FATİH SULTAN MEHMET,SARIYER,41.09259,29.035334,15653
265,FATİH SULTAN MEHMET,ÜMRANİYE,41.025996,29.123765,4657
266,FENER,SİLİVRİ,41.150287,28.237833,1467
267,FENERBAHÇE,KADIKÖY,40.974977,29.04304,20734
268,FENERYOLU,KADIKÖY,40.984758,29.048353,24750
269,FERAH,ÜSKÜDAR,41.033297,29.073432,21588
270,FERAHEVLER,SARIYER,41.131931,29.041685,15013
271,FERHATPAŞA,ATAŞEHİR,40.986769,29.172204,20310
272,FERİKÖY,ŞİŞLİ,41.05026,28.978558,13456
273,FETİH,ATAŞEHİR,41.005469,29.074761,11476
274,FETİHTEPE,BEYOĞLU,41.052983,28.958044,12301
275,FEVZİ ÇAKMAK,BAHÇELİEVLER,40.996139,28.834455,22087
276,FEVZİ ÇAKMAK,BAĞCILAR,41.043073,28.857882,32776
277,FEVZİ ÇAKMAK,ESENLER,41.043179,28.880908,30328
278,FEVZİ ÇAKMAK,GAZİOSMANPAŞA,41.071391,28.904587,23032
279,FEVZİ ÇAKMAK,KÜÇÜKÇEKMECE,41.006707,28.789144,26584
280,FEVZİ ÇAKMAK,PENDİK,40.882094,29.267259,38271
281,FEYZULLAH,MALTEPE,40.927194,29.127157,19597
282,FINDIKLI,MALTEPE,40.969993,29.132459,63722
283,FULYA,ŞİŞLİ,41.065572,28.996093,16382
284,FİKİRTEPE,KADIKÖY,40.993911,29.049497,12308
285,FİRUZAĞA,BEYOĞLU,41.030383,28.981096,3675
286,FİRUZKÖY,AVCILAR,41.010386,28.71021,24099
287,GARİPÇE,SARIYER,41.214297,29.108504,400
288,GAYRETTEPE,BEŞİKTAŞ,41.063609,29.006499,12701
289,GAZİ,SULTANGAZİ,41.105193,28.897225,35135
290,GAZİTEPE,SİLİVRİ,41.128109,28.322789,1212
291,GENÇOSMAN,GÜNGÖREN,41.02743,28.878832,39756
292,GEREDELİ,ŞİLE,41.079296,29.866892,730
293,GÖKALP,ZEYTİNBURNU,40.992189,28.907849,17623
294,GÖKEVLER,ESENYURT,41.025624,28.633982,17691
295,GÖKMAŞLI,ŞİLE,41.096291,29.803315,230
296,GÖKSU,BEYKOZ,41.079368,29.074756,2317
297,GÖKSU,ŞİLE,41.078611,29.775788,307
298,GÖKTÜRK MERKEZ,EYÜPSULTAN,41.180746,28.889306,39863
299,GÖKÇEALİ,ÇATALCA,41.201135,28.445571,2068
300,GÖLLÜ,BEYKOZ,41.175398,29.269585,246
301,GÖRELE,BEYKOZ,41.116553,29.14626,2029
302,GÖZTEPE,BAĞCILAR,41.057216,28.834695,40178
303,GÖZTEPE,BEYKOZ,41.079755,29.076401,9983
304,GÖZTEPE,KADIKÖY,40.979187,29.064434,38335
305,GÖÇBEYLİ,PENDİK,40.9784,29.460145,1466
306,GÖÇE,ŞİLE,41.107785,29.853509,871
307,GÜLBAHAR,ŞİŞLİ,41.071345,28.999351,22921
308,GÜLENSU,MALTEPE,40.935327,29.161842,13625
309,GÜLLÜ BAĞLAR,PENDİK,40.893176,29.276335,19301
310,GÜLSUYU,MALTEPE,40.928701,29.155068,14593
311,GÜLTEPE,KAĞITHANE,41.080294,28.994257,13941
312,GÜLTEPE,KÜÇÜKÇEKMECE,40.995606,28.791488,28757
313,GÜMÜŞDERE,SARIYER,41.237158,28.984321,2423
314,GÜMÜŞPALA,AVCILAR,40.980902,28.736248,36857
315,GÜMÜŞPINAR,KARTAL,40.91839,29.205778,26581
316,GÜMÜŞPINAR,ÇATALCA,41.313409,28.285274,926
317,GÜMÜŞSUYU,BEYKOZ,41.126835,29.100984,12968
318,GÜMÜŞSUYU,BEYOĞLU,41.035119,28.99054,1954
319,GÜMÜŞYAKA,SİLİVRİ,41.04661,28.041523,9930
320,GÜNEŞLİ,BAĞCILAR,41.037774,28.83173,44175
321,GÜNEŞTEPE,GÜNGÖREN,41.02539,28.864734,45667
322,GÜNGÖREN,ÇEKMEKÖY,41.024203,29.219305,15599
323,GÜRPINAR,BEYLİKDÜZÜ,40.989457,28.605839,20388
324,GÜRSEL,KAĞITHANE,41.071122,28.972143,29476
325,GÜVERCİNTEPE,BAŞAKŞEHİR,41.0732645,28.7503305,79017
326,GÜZELCE,BÜYÜKÇEKMECE,41.00026,28.514744,10765
327,GÜZELTEPE,EYÜPSULTAN,41.076251,28.950224,33813
328,GÜZELYALI,PENDİK,40.859715,29.280409,33231
329,GÜZELYURT,ESENYURT,41.008709,28.666694,17956
330,GİRNE,MALTEPE,40.942408,29.141566,19579
331,HABİBLER,SULTANGAZİ,41.133671,28.839614,8163
332,HACI KADIN,FATİH,41.0193425,28.960104,217
333,HACIAHMET,BEYOĞLU,41.042912,28.97483,14999
334,HACILLI,ŞİLE,41.04554,29.769709,274
335,HACIMAŞLI,ARNAVUTKÖY,41.155506,28.71256,693
336,HACIMİMİ,BEYOĞLU,41.0270005,28.979077,1136
337,HADIMKÖY,ARNAVUTKÖY,41.156101,28.621491,27984
338,HALICIOĞLU,BEYOĞLU,41.050382,28.949673,12420
339,HALKALI MERKEZ,KÜÇÜKÇEKMECE,41.03259,28.791192,81277
340,HALLAÇLI,ÇATALCA,41.320059,28.099776,1413
341,HALİDE EDİP ADIVAR,ŞİŞLİ,41.061735,28.975477,16468
342,HALİL RIFAT PAŞA,ŞİŞLİ,41.057054,28.969476,6594
343,HAMİDİYE,KAĞITHANE,41.094784,28.969959,41128
344,HAMİDİYE,SULTANBEYLİ,40.956148,29.285372,26424
345,HAMİDİYE,ÇEKMEKÖY,41.027315,29.186825,29664
346,HARAÇÇI,ARNAVUTKÖY,41.179153,28.702043,12042
347,HARMANDERE,PENDİK,40.928222,29.322023,10294
348,HARMANTEPE,KAĞITHANE,41.081033,28.990496,21234
349,HASANLI,ŞİLE,41.017866,29.664797,303
350,HASANPAŞA,KADIKÖY,40.994731,29.037546,16034
351,HASANPAŞA,SULTANBEYLİ,40.968779,29.250461,17528
352,HASEKİ SULTAN,FATİH,41.010232,28.942779,8945
353,HAVAALANI,ESENLER,41.058806,28.869654,32456
354,HAZNEDAR,GÜNGÖREN,41.008814,28.872158499999998,16757
355,HEKİMBAŞI,ÜMRANİYE,41.061018,29.098473,7403
356,HEYBELİADA,ADALAR,40.877262,29.099086,4661
357,HIRKA-İ ŞERİF,FATİH,41.023386,28.93914,20502
358,HOCAPAŞA,FATİH,41.013836,28.975574,256
359,HUZUR,SARIYER,41.104461,28.997597,8568
360,HUZUR,ÜMRANİYE,41.027889,29.161978,12230
361,HÜRRİYET,BAHÇELİEVLER,40.995485,28.842741,42183
362,HÜRRİYET,BAĞCILAR,41.028724,28.833318,24973
363,HÜRRİYET,ESENYURT,41.034266,28.645512,28342
364,HÜRRİYET,GAZİOSMANPAŞA,41.069068,28.900149,27191
365,HÜRRİYET,KARTAL,40.90189,29.228527,50968
366,HÜRRİYET,KAĞITHANE,41.071985,28.984994,20205
367,HÜSEYİNAĞA,BEYOĞLU,41.035862,28.979486,483
368,HÜSEYİNLİ,ÇEKMEKÖY,41.11878,29.292428,842
369,HİCRET,ARNAVUTKÖY,41.196007,28.759781,4454
370,HİLAL,SANCAKTEPE,41.021969,29.260808,6277
371,HİSARBEYLİ,ÇATALCA,41.368748,28.474289,368
372,IHLAMURKUYU,ÜMRANİYE,41.021051,29.131785,15817
373,IŞIKLAR,EYÜPSULTAN,41.227136,28.826282,604
374,KABAKOZ,ŞİLE,41.143355,29.688869,790
375,KABAKÇA,ÇATALCA,41.228633,28.369894,2001
376,KADIKÖY,SİLİVRİ,41.135927,28.364314,1405
377,KADIKÖY,ŞİLE,41.110393,29.905018,252
378,KADIMEHMET EFENDİ,BEYOĞLU,41.034043,28.963927,8877
379,KALEM,ŞİLE,41.088605,29.844497,349
380,KALENDERHANE,FATİH,41.014928,28.958593,2053
381,KALEİÇİ,ÇATALCA,41.143161,28.456508999999997,7810
382,KALFA,ÇATALCA,41.289188,28.440321,923
383,KAMER HATUN,BEYOĞLU,41.0354035,28.9747655,662
384,KAMİLOBA,BÜYÜKÇEKMECE,41.043186,28.435271,9506
385,KANARYA,KÜÇÜKÇEKMECE,41.009257,28.780769,68195
386,KANDİLLİ,ÜSKÜDAR,41.0678075,29.055931,1414
387,KANLICA,BEYKOZ,41.100277,29.065615,3885
388,KAPTANPAŞA,BEYOĞLU,41.041568,28.962286,18630
389,KAPTANPAŞA,ŞİŞLİ,41.064452,28.97092,3059
390,KARAAĞAÇ,BÜYÜKÇEKMECE,41.10848,28.590497,6480
391,KARABEYLİ,ŞİLE,41.105663,29.734003,239
392,KARABURUN,ARNAVUTKÖY,41.346534,28.683327,2018
393,KARACAKÖY,ŞİLE,41.151856,29.768872,352
394,KARACAKÖY MERKEZ,ÇATALCA,41.402864,28.383006,2591
395,KARADENİZ,GAZİOSMANPAŞA,41.081279,28.882044,71482
396,KARADOLAP,EYÜPSULTAN,41.077507,28.933463,31766
397,KARAGÜMRÜK,FATİH,41.026117,28.937756,10383
398,KARAKİRAZ,ŞİLE,41.179673,29.348114,320
399,KARAMANDERE,ÇATALCA,41.376065,28.305676,626
400,KARAMANDERE,ŞİLE,41.134739,29.589443,375
401,KARAYOLLARI,GAZİOSMANPAŞA,41.088185,28.895755,38294
402,KARLIBAYIR,ARNAVUTKÖY,41.181737,28.714988,11576
403,KARLIKTEPE,KARTAL,40.891508,29.188064,33598
404,KARLITEPE,GAZİOSMANPAŞA,41.057775,28.927233,18845
405,KARTALTEPE,BAKIRKÖY,40.983208,28.875686,34375
406,KARTALTEPE,BAYRAMPAŞA,41.055858,28.903979,43635
407,KARTALTEPE,KÜÇÜKÇEKMECE,40.999316,28.797184,14748
408,KATİP KASIM,FATİH,41.0060815,28.953869,1318
409,KATİPMUSTAFA ÇELEBİ,BEYOĞLU,41.033662,28.982199,699
410,KAVACIK,BEYKOZ,41.09285,29.083319,22383
411,KAVAKLI,BEYLİKDÜZÜ,40.983495,28.64177,67292
