||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İstanbul(Beşiktaş/Beşiktaş Bel./Türkali Mah.)-40218|9618.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Ulus Mah.)-40227|6715.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Vişnezade Mah.)-40214|8320.0|
|İstanbul(Beşiktaş/Beşiktaş Bel./Yıldız Mah.)-40220|4635.0|
|İstanbul(Beykoz/Beykoz Bel./Acarlar Mah.)-40250|9488.0|
|İstanbul(Beykoz/Beykoz Bel./Akbaba Mah.)-191701|2762.0|
|İstanbul(Beykoz/Beykoz Bel./Alibahadır Mah.)-191703|767.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolufeneri Mah.)-191705|741.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Hisarı Mah.)-40243|2474.0|
|İstanbul(Beykoz/Beykoz Bel./Anadolu Kavağı Mah.)-40256|1466.0|
|İstanbul(Beykoz/Beykoz Bel./Baklacı Mah.)-40257|3260.0|
|İstanbul(Beykoz/Beykoz Bel./Bozhane Mah.)-191725|470.0|
|İstanbul(Beykoz/Beykoz Bel./Çamlıbahçe Mah.)-40253|6036.0|
|İstanbul(Beykoz/Beykoz Bel./Çavuşbaşı Çiftlik Mah.)-40259|5702.0|
|İstanbul(Beykoz/Beykoz Bel./Çengeldere Mah.)-40258|5407.0|
|İstanbul(Beykoz/Beykoz Bel./Çiğdem Mah.)-40240|10849.0|
|İstanbul(Beykoz/Beykoz Bel./Çubuklu Mah.)-40241|20137.0|
|İstanbul(Beykoz/Beykoz Bel./Cumhuriyetköy Mah.)-191727|1989.0|
|İstanbul(Beykoz/Beykoz Bel./Dereseki Mah.)-191709|1647.0|
|İstanbul(Beykoz/Beykoz Bel./Elmalı Mah.)-191711|3133.0|
|İstanbul(Beykoz/Beykoz Bel./Fatih Mah.)-40260|4296.0|
|İstanbul(Beykoz/Beykoz Bel./Göksu Mah.)-40244|2317.0|
|İstanbul(Beykoz/Beykoz Bel./Göllü Mah.)-191729|246.0|
|İstanbul(Beykoz/Beykoz Bel./Görele Mah.)-191713|2029.0|
|İstanbul(Beykoz/Beykoz Bel./Göztepe Mah.)-40246|9983.0|
